,address_line_1,address_line_2,city,state,zip,phone,mon_hrs,tue_hrs,wed_hrs,thu_hrs,fri_hrs,sat_hrs,sun_hrs,drive-thru,mobile-order,dunkin-card,kcup,curbside-pickup,has-baskin-robbins
2195,3535 N Western Ave,N/A,Chicago,IL,60618,(773) 348-7000,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,False,True,True,True,False,False
2196,3542 South Archer Avenue,N/A,Chicago,IL,60609,N/A,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,False,False,False,False,False
2197,3801 W. Belmont Ave,N/A,Chicago,IL,60618,(773) 539-1125,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,False,True,True,False,True
2198,3843 N. Cicero,N/A,Chicago,IL,60641,(773) 545-5436,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,False,True,True,True,False,False
2199,39 W Jackson Blvd,N/A,Chicago,IL,60604,(312) 939-3133,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 10:00 PM,5:00 AM - 12:00 AM,5:00 AM - 10:00 PM,False,False,True,True,False,False
2200,3910 S Archer Ave,N/A,Chicago,IL,60632,(773) 523-3646,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,True
2201,3949 N Broadway St,N/A,Chicago,IL,60613,(773) 296-6332,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,False,True,True,True,False,False
2202,3955 W Ogden Ave,N/A,Chicago,IL,60623,(773) 475-7310,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,True,True,True,True,False,False
2203,3960 W Irving Park Rd,N/A,Chicago,IL,60618,(773) 326-9246,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,False,True,True,True,False,False
2204,3977 W Columbus Ave,N/A,Chicago,IL,60652,(773) 581-6530,4:00 AM - 11:00 PM,4:00 AM - 11:00 PM,4:00 AM - 11:00 PM,4:00 AM - 11:00 PM,4:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,True,True,True,True,False,True
2205,400 S. Fin. Place Shp Ctr,3-A,Chicago,IL,60605,(312) 663-5150,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,Closed,Closed,False,True,True,True,False,False
2206,4010 N. Western Ave,N/A,Chicago,IL,60618,(773) 604-4433,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,True
2207,404 N Wabash Ave,N/A,Chicago,IL,60611,(312) 828-9120,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,False
2208,4045 W Lawrence Ave,N/A,Chicago,IL,60630,(773) 427-9777,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,True
2209,4058 W Peterson Ave,N/A,Chicago,IL,60646,(773) 654-1246,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
2210,406 S Michigan Ave,N/A,Chicago,IL,60605,(312) 566-0209,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,Closed,False,True,True,True,False,False
2211,4113 S Pulaski Rd,N/A,Chicago,IL,60632,(773) 376-1190,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,False
2212,4245 N Milwaukee Ave,N/A,Chicago,IL,60630,(773) 427-4245,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 7:00 PM,True,True,True,True,False,False
2213,4302 S Ashland Ave,N/A,Chicago,IL,60609,(773) 847-3337,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,False,False,True
2214,4313 W Irving Park Rd,N/A,Chicago,IL,60641,(773) 853-0295,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,5:00 AM - 6:00 PM,5:30 AM - 6:00 PM,False,True,True,True,False,False
2215,4350 N Central Ave,N/A,Chicago,IL,60634,(773) 545-7980,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,False,True,True,True,False,False
2216,4359 N Pulaski Ave,N/A,Chicago,IL,60641,(773) 326-7085,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,False,True,True,False,False,False
2217,4453 S. Archer Ave,N/A,Chicago,IL,60632,(773) 247-4499,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,False,True,True,False,False,False
2218,448 E 87th St,N/A,Chicago,IL,60619,(773) 846-8400,12:00 AM - 12:00 AM,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,12:00 AM - 12:00 AM,True,True,True,False,False,True
2219,4547 N Broadway St,N/A,Chicago,IL,60640,(773) 784-2500,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,True,True,False,False,False
2220,4612 W 59th St,Cta,Chicago,IL,60629,(773) 581-7677,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,False,True,True,False,False,False
2221,4644 W Diversey,N/A,Chicago,IL,60639,(773) 202-1940,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,6:00 AM - 10:00 PM,False,True,True,False,False,True
2222,4645 N Western Ave,Cta,Chicago,IL,60625,(773) 275-5551,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,False,True,True,True,False,False
2223,4649 S. Cicero Ave,N/A,Chicago,IL,60632,(773) 767-8662,Closed,Closed,Closed,Closed,Closed,Closed,Closed,False,True,True,False,False,False
2224,4701 S Kedzie Avenue,Kedzi Plaza East,Chicago,IL,60632,N/A,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,False,False,True
2225,4755 N Kimball Ave,N/A,Chicago,IL,60625,(872) 588-4935,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 5:00 PM,5:00 AM - 2:00 PM,False,True,True,True,False,False
2226,4821 N. Kedzie Ave,N/A,Chicago,IL,60625,(773) 463-2691,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,False,False,True,False,False,True
2227,4851 W Belmont Ave,N/A,Chicago,IL,60641,(773) 777-7589,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,True
2228,4867 N Milwaukee Ave,N/A,Chicago,IL,60630,(773) 202-0988,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,True
2229,4901 S Central Ave,Citgo,Chicago,IL,60638,(773) 288-9938,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,4:00 AM - 3:00 PM,5:00 AM - 3:00 PM,False,True,True,False,False,False
2230,4957 S. Central Ave,N/A,Chicago,IL,60638,(773) 288-9938,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,True,True,True,False,False
2231,500 W Madison St,N/A,Chicago,IL,60661,(312) 648-5711,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,6:00 AM - 10:00 PM,7:00 AM - 10:00 PM,False,True,True,True,False,False
2232,500 W. Roosevelt Rd,Suite 7,Chicago,IL,60607,(312) 765-0199,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,True
2233,5000 W. Irving Park Rd,N/A,Chicago,IL,60641,(773) 545-0515,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,True
2234,5050 N Cicero Ave,N/A,Chicago,IL,60630,(773) 481-1488,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,True,True,True,False,True
2235,5050 W Grand Ave,N/A,Chicago,IL,60639,(773) 622-3373,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,True,True,True,False,True
2236,5130 N Broadway St,N/A,Chicago,IL,60640,(773) 878-4623,4:30 AM - 9:30 PM,4:30 AM - 9:30 PM,4:30 AM - 9:30 PM,4:30 AM - 9:30 PM,4:30 AM - 9:30 PM,5:00 AM - 9:30 PM,5:00 AM - 9:30 PM,True,True,True,True,False,True
2237,5200 N Lincoln Ave,N/A,Chicago,IL,60625,(773) 784-5070,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,False,True,True,True,False,True
2238,5201 W Fullerton Ave,N/A,Chicago,IL,60639,(773) 417-2142,4:30 AM - 7:00 PM,4:30 AM - 7:00 PM,4:30 AM - 7:00 PM,4:30 AM - 7:00 PM,4:30 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
2239,5205 N Nagle Avenue,N/A,Chicago,IL,60630,(773) 763-7160,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,True,True,True,False,True
2240,521 N State St,Cta Grand Station Red Line,Chicago,IL,60654,(312) 877-5223,4:00 AM - 4:00 PM,4:00 AM - 4:00 PM,4:00 AM - 4:00 PM,4:00 AM - 4:00 PM,4:00 AM - 4:00 PM,6:00 AM - 4:00 PM,Closed,False,True,False,False,False,False
2241,5401 N Harlem Ave,N/A,Chicago,IL,60656,(708) 831-4209,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 8:00 PM,False,True,True,True,False,True
2242,5448 S Pulaski Rd,N/A,Chicago,IL,60632,(773) 585-5115,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,False
2243,5454 S State St,N/A,Chicago,IL,60609,(773) 558-6695,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,False
2244,547 W Jackson Blvd,Suite 125,Chicago,IL,60661,(312) 786-1355,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 4:00 PM,6:00 AM - 3:00 PM,False,True,True,True,False,False
2245,555 W Lake St,N/A,Chicago,IL,60661,(312) 887-1050,5:00 AM - 4:00 PM,5:00 AM - 4:00 PM,5:00 AM - 4:00 PM,5:00 AM - 4:00 PM,5:00 AM - 4:00 PM,5:00 AM - 4:00 PM,6:00 AM - 4:00 PM,False,True,True,True,False,False
2246,5602 N Clark St,N/A,Chicago,IL,60660,(872) 241-9060,4:30 AM - 8:00 PM,4:30 AM - 8:00 PM,4:30 AM - 8:00 PM,4:30 AM - 8:00 PM,4:30 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,False,True,True,True,False,False
2247,5615 S Harlem Ave,N/A,Chicago,IL,60638,(773) 586-6460,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,Open 24 Hours,True,True,True,True,False,True
2248,5650 W Fullerton Ave,N/A,Chicago,IL,60639,(773) 385-6564,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,True
2249,5707 W North Ave,N/A,Chicago,IL,60639,(773) 622-5360,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,4:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,False,False,True
2250,5723 N. California Ave,N/A,Chicago,IL,60659,(773) 334-5980,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,False,True,True,True,False,False
2251,5755 W 63rd St,N/A,Chicago,IL,60638,(773) 581-9170,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,False
2252,5931 S. Kedzie Ave,N/A,Chicago,IL,60629,(773) 776-5900,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,False,False,True
2253,5949 W Higgins Rd,N/A,Chicago,IL,60630,(773) 202-8977,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,5:00 AM - 5:00 PM,False,True,True,True,False,False
2254,5959 Diversey Ave,N/A,Chicago,IL,60639,(773) 745-0731,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,True
2255,6 N. Wabash Ave,N/A,Chicago,IL,60602,(312) 384-1870,6:00 AM - 5:30 PM,6:00 AM - 5:30 PM,6:00 AM - 5:30 PM,6:00 AM - 5:30 PM,6:00 AM - 5:30 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,False,True,True,True,False,False
2256,600 S. Wabash Ave,N/A,Chicago,IL,60605,(312) 786-9750,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,True
2257,6001 West Addison Ave,N/A,Chicago,IL,60634,(773) 202-1915,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,5:00 AM - 10:00 PM,12:00 AM - 12:00 AM,3:30 AM - 11:00 PM,True,True,True,True,False,True
2258,6100 S. Western Ave,N/A,Chicago,IL,60636,(773) 776-3421,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,True
2259,62 E Jackson Blvd,N/A,Chicago,IL,60604,(312) 786-1114,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,7:00 AM - 12:00 PM,Closed,False,False,True,True,False,False
2260,6200 W Belmont Ave,N/A,Chicago,IL,60634,(773) 202-8799,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 5:00 PM,True,True,True,True,False,False
2261,6237 S Halsted Pkwy,N/A,Chicago,IL,60621,(773) 783-8328,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 2:30 PM,6:00 AM - 2:30 PM,True,True,True,True,False,False
2262,6250 N Clark St,N/A,Chicago,IL,60660,(773) 338-2700,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,True
2263,6254 N Western Ave,N/A,Chicago,IL,60659,(773) 274-0094,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,True,True,True,False,True
2264,626 S Clark Street,N/A,Chicago,IL,60605,(312) 362-0523,Closed,Closed,Closed,Closed,Closed,Closed,Closed,False,True,True,True,False,False
2265,6332 N Broadway St,N/A,Chicago,IL,60660,(773) 973-0829,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,True,True,True,True,False,False
2266,6336 W North Ave,Narangansette,Chicago,IL,60639,(773) 622-1881,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,False
2267,6342 N Milwaukee Ave,N/A,Chicago,IL,60646,(773) 763-7181,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,True,True,True,False,True
2268,6408 W. Irving Park Rd,N/A,Chicago,IL,60634,(773) 545-9875,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,True,True,False,True
2269,6435 S Cicero Ave,N/A,Chicago,IL,60638,(773) 735-6715,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,True,False,False
2270,6536 S Kedzie Ave,N/A,Chicago,IL,60629,(773) 436-6400,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,False
2271,6701 S Jeffery Blvd,N/A,Chicago,IL,60649,(773) 955-1985,5:00 AM - 5:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 5:00 PM,False,False,True,True,False,False
2272,6738 W Archer Ave,N/A,Chicago,IL,60638,(773) 586-5969,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,False
2273,6925 S. Pulaski Rd,N/A,Chicago,IL,60629,(773) 585-5999,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,True
2274,6970 N Clark St,N/A,Chicago,IL,60626,(773) 508-0433,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,False,True,True,True,False,False
2275,7013 S Stony Island Ave,N/A,Chicago,IL,60649,(773) 633-0849,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,True
2276,7119 S Ashland Ave,N/A,Chicago,IL,60636,N/A,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,True,True,False,False,False
2277,7156 N Harlem Ave,N/A,Chicago,IL,60631,(773) 792-0044,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,6:00 AM - 4:00 PM,4:00 AM - 6:00 PM,4:00 AM - 6:00 PM,6:00 AM - 6:00 PM,False,True,True,True,False,False
2278,7171 W Irving Park Rd,N/A,Chicago,IL,60634,(773) 286-1668,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,True
2279,7240 W Devon Ave,N/A,Chicago,IL,60631,(773) 775-7525,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,False,True,True,True,False,False
2280,7450 S. Martin Luther King Dr,N/A,Chicago,IL,60619,(773) 723-1938,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,True
2281,749 W 31st St,N/A,Chicago,IL,60616,(312) 567-9212,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,True,True,True,False,False
2282,75 E. Washington St,N/A,Chicago,IL,60602,(312) 223-0306,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,True,True,True,False,True
2283,750 S Halsted St - University,Chicago Circle Center,Chicago,IL,60607,(708) 296-8724,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,Closed,Closed,False,True,True,False,False,False
2284,7500 S Pulaski Rd,Richard Daley College,Chicago,IL,60652,(847) 680-8008,Closed,Closed,Closed,Closed,Closed,Closed,Closed,False,True,False,True,False,False
2285,7553 N Paulina St,N/A,Chicago,IL,60626,(773) 274-0204,5:00 AM - 7:30 PM,5:00 AM - 7:30 PM,5:00 AM - 7:30 PM,5:00 AM - 7:30 PM,5:00 AM - 7:30 PM,6:00 AM - 7:30 PM,6:00 AM - 7:30 PM,False,True,True,True,False,True
2286,7578 N Western Ave,N/A,Chicago,IL,60645,(773) 274-7800,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,True,True,True,True,False,True
2287,782 N Laramie Ave,N/A,Chicago,IL,60644,(773) 626-2343,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,True
2288,7905 S Cicero,N/A,Chicago,IL,60652,(773) 585-2432,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,True,False,True
2289,7921 S Western Ave,N/A,Chicago,IL,60620,(773) 424-4772,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,True,True,True,False,False,False
2290,800 N Kedzie Ave,Unit #223,Chicago,IL,60651,(630) 983-0145,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 6:00 PM,False,True,True,False,False,False
